-40	5	20	6.5	26.0	30.3	46.9	24.3	40.9	0	0
-40	10	20	13.1	21.8	22.7	37.4	20.9	35.6	0	0
-40	15	20	19.6	17.6	14.4	25.1	16.8	27.5	1	0
-40	20	20	26.1	13.4	10.2	10.6	16.8	17.2	1	0
-40	25	20	32.6	9.2	6.0	0.0	16.8	10.8	4	0
-40	30	20	39.2	5.0	1.8	4.5	16.8	19.5	1	0
-50	5	20	7.8	24.2	22.7	36.7	18.5	32.5	1	0
-50	10	20	15.6	18.3	16.6	23.0	18.3	24.7	1	0
-50	15	20	23.3	12.3	10.9	0.0	18.6	7.7	4	0
-50	20	20	31.1	6.4	4.7	0.0	18.3	13.6	4	0
-50	25	20	38.9	0.4	-1.3	0.0	18.3	19.6	4	0
-50	30	20	46.7	-5.6	0.0	0.0	25.6	25.6	3	0
-60	5	20	10.0	21.5	21.1	22.0	19.6	20.5	1	0
-60	10	20	20.0	12.9	12.5	0.0	19.6	7.1	4	0
-60	15	20	30.0	4.2	3.6	0.0	19.4	15.8	4	0
-60	20	20	40.0	-4.4	-1.3	0.0	23.1	24.4	4	0
-60	25	20	50.0	-13.1	-1.3	0.0	31.8	33.1	3	0
-60	30	20	60.0	-21.8	-1.3	0.0	40.5	41.8	3	0
-70	5	20	14.6	16.5	16.9	0.0	20.4	3.5	5	0
-70	10	20	29.2	2.7	2.8	0.0	20.1	17.3	5	0
-70	15	20	43.9	-11.0	-1.3	0.0	29.7	31.0	4	0
-70	20	20	58.5	-24.7	-1.3	0.0	43.4	44.7	4	0
-70	25	20	73.1	-38.5	-1.3	0.0	57.2	58.5	4	0
-70	30	20	87.7	-52.2	0.0	0.0	72.2	72.2	3	0
-80	5	20	28.8	1.8	1.8	0.0	20.0	18.2	4	0
-80	10	20	57.6	-26.5	0.0	0.0	46.5	46.5	3	0
-80	15	20	86.4	-54.9	0.0	0.0	74.9	74.9	3	0
-80	20	20	115.2	-83.2	0.0	0.0	103.2	103.2	3	0
-80	25	20	144.0	-111.6	0.0	0.0	131.6	131.6	3	0
-80	30	20	172.8	-139.9	0.0	0.0	159.9	159.9	3	0
